Name,HOCO,LUCO,Indirect Gap,EA/eV,Conductivity (20%),Log(20%),Conductivity (Max),Log(Max),SMILES
PDTzTIT,-5.86,-3.9,1.96,2.27,3.00E-05,-4.522878745,6.70E-05,-4.173925197,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6cccs6)sc5c4s3)nc2c1=O
PDTzTIT-2F,-5.98,-4.01,1.97,2.34,0.0003,-3.522878745,0.00063,-3.200659451,Cn1c(=O)c2ccsc2c2sc(-c3nc4c(=O)n(C)c(=O)c5cc(-c6scc(F)c6F)sc5c4s3)nc2c1=O
PFClTVT,-5.46,-4.4,1.06,3.05,3.5,0.544068044,38.3,1.583198774,CN1C(=O)/C(=C2\[C]3C=C4OC(=O)/C(=C5/C(=O)N(C)c6c(F)cccc65)[C]4C=C3OC2=O)[C]2C=C[C](c3cc(Cl)c(/C=C/c4sccc4Cl)s3)C(F)=C21
PI-BN,-5.48,-3.77,1.71,2.12,0.0009,-3.045757491,0.001,-3,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(C4C=C(B(c5ccccc5)c5ccccc5)C(c5nccs5)S4)ccc32)c2ccccc21
pNB,-6.05,-4.31,1.74,2.85,0.0055,-2.259637311,0.01,-2,CN1C(=O)c2c3ccsc3c3c4c(c5cc(-c6cc7c(=O)n(C)c(=O)c8ccsc8c7s6)sc5c(c24)C1=O)C(=O)N(C)C3=O
pNB-Tz,-5.75,-4.32,1.43,2.94,0.015,-1.823908741,0.55,-0.259637311,CN1C(=O)c2c3ccsc3c3c4c(c5cc(-c6cnc(-c7cc8c(=O)n(C)c(=O)c9cc(-c%10nccs%10)sc9c8s7)s6)sc5c(c24)C1=O)C(=O)N(C)C3=O
pNB-TzDP,-5.73,-4.28,1.45,2.93,1,0,9.39,0.972665592,CC(C)CCCN1C(=O)c2c3ccsc3c3c4c(c5cc(-c6cnc(-c7cc8c(=O)n(C)c(=O)c9cc(-c%10nccs%10)sc9c8s7)s6)sc5c(c24)C1=O)C(=O)N(CCCC(C)C)C3=O
PNDI2C8TEG-2Tz,-5.2,-4.17,1.03,2.54,1.5,0.176091259,1.6,0.204119983,COCCOCCN1C(=O)c2ccc3c4c(c(-c5nc(OC)c(-c6scnc6OC)s5)cc(c24)C1=O)C(=O)N(CCOCCOC)C3=O
PNDI2OD-T2DEG,-4.75,-3.91,0.84,2.29,0.0008,-3.096910013,0.0019,-2.721246399,COCCOc1ccsc1-c1sc(-c2cc3c4c(ccc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)cc1OCCOC
PNDI2OD-T2DO,-4.84,-3.96,0.88,2.3,6.00E-06,-5.22184875,9.10E-06,-5.040958608,COc1ccsc1-c1sc(-c2cc3c4c(ccc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)cc1OC
